block,district,100%_conversion_pv_size,100%_conversion_avg_vehicles_served_daily,100%_conversion_tot_vehicles_served_yearly,pv_capex_usd,pv_capex_inr_lakh
Bankura-I,Bankura,69,16,6097,71760,61.40503199999999
Bankura-Ii,Bankura,65,15,5736,67600,57.84532
Barjora,Bankura,61,14,5372,63440,54.285607999999996
Chhatna,Bankura,58,13,5090,60320,51.615823999999996
Gangajal Ghati,Bankura,58,13,5090,60320,51.615823999999996
Hirbandh,Bankura,31,7,2648,32240,27.587767999999997
Indpur,Bankura,46,10,4013,47840,40.936688
Indus,Bankura,42,9,3642,43680,37.376976
Jaypur,Bankura,54,12,4726,56160,48.05611199999999
Khatra-I,Bankura,27,6,2274,28080,24.028055999999996
Kotulpur,Bankura,54,12,4726,56160,48.05611199999999
Mejhia,Bankura,27,6,2274,28080,24.028055999999996
Onda,Bankura,84,20,7459,87360,74.753952
Patrasayer,Bankura,58,13,5090,60320,51.615823999999996
Raipur-I,Bankura,42,9,3642,43680,37.376976
Ranibundh,Bankura,31,7,2648,32240,27.587767999999997
Saltora,Bankura,46,10,4013,47840,40.936688
Sarenga,Bankura,31,7,2648,32240,27.587767999999997
Simlapal,Bankura,42,9,3642,43680,37.376976
Sonamukhi,Bankura,50,11,4367,52000,44.4964
Taldangra,Bankura,46,10,4013,47840,40.936688
Vishnupur,Bankura,50,11,4367,52000,44.4964
Cooch Behar Ii,Koch Bihar,1028,245,89508,1069120,914.8459839999999
Cooch Behar-I,Koch Bihar,1461,348,127265,1519440,1300.184808
Dinhata-I,Koch Bihar,833,198,72497,866320,741.3100239999999
Dinhata-Ii,Koch Bihar,698,166,60711,725920,621.169744
Haldibari,Koch Bihar,421,100,36551,437840,374.65968799999996
Matha Bhanga-Ii,Koch Bihar,853,203,74243,887120,759.108584
Mathabhanga-I,Koch Bihar,935,222,81375,972400,832.08268
Mekliganj,Koch Bihar,490,116,42568,509600,436.06472
Sitai,Koch Bihar,421,100,36551,437840,374.65968799999996
Sitalkuchi,Koch Bihar,771,183,67082,801840,686.1344879999999
Tufanganj-I,Koch Bihar,776,185,67528,807040,690.584128
Tufanganj-Ii,Koch Bihar,584,139,50775,607360,519.717952
Alipurduar-I,Alipurduar,769,178,64998,799760,684.3546319999999
Alipurduar-Ii,Alipurduar,608,140,51360,632320,541.076224
Falakata,Alipurduar,1334,309,112885,1387360,1187.1639519999999
Kalchini,Alipurduar,1423,329,120430,1479920,1266.367544
Kumargram,Alipurduar,684,158,57806,711360,608.710752
Madarihat,Alipurduar,867,200,73313,901680,771.5675759999999
Bolpur-Sriniketan,Birbhum,315,78,28682,327600,280.32732
