block,district,30%_conversion_pv_size,30%_conversion_avg_vehicles_served_daily,30%_conversion_tot_vehicles_served_yearly,pv_capex_usd,pv_capex_inr_lakh
Bankura-I,Bankura,23,5,1921,23920,20.468344
Bankura-Ii,Bankura,23,5,1921,23920,20.468344
Barjora,Bankura,23,5,1921,23920,20.468344
Chhatna,Bankura,23,5,1921,23920,20.468344
Gangajal Ghati,Bankura,23,5,1921,23920,20.468344
Hirbandh,Bankura,12,2,930,12480,10.679135999999998
Indpur,Bankura,20,4,1648,20800,17.79856
Indus,Bankura,16,3,1284,16640,14.238847999999997
Jaypur,Bankura,20,4,1648,20800,17.79856
Khatra-I,Bankura,12,2,930,12480,10.679135999999998
Kotulpur,Bankura,20,4,1648,20800,17.79856
Mejhia,Bankura,12,2,930,12480,10.679135999999998
Onda,Bankura,31,7,2648,32240,27.587767999999997
Patrasayer,Bankura,23,5,1921,23920,20.468344
Raipur-I,Bankura,16,3,1284,16640,14.238847999999997
Ranibundh,Bankura,12,2,930,12480,10.679135999999998
Saltora,Bankura,20,4,1648,20800,17.79856
Sarenga,Bankura,12,2,930,12480,10.679135999999998
Simlapal,Bankura,16,3,1284,16640,14.238847999999997
Sonamukhi,Bankura,20,4,1648,20800,17.79856
Taldangra,Bankura,20,4,1648,20800,17.79856
Vishnupur,Bankura,20,4,1648,20800,17.79856
Cooch Behar Ii,Koch Bihar,437,103,37947,454480,388.8985359999999
Cooch Behar-I,Koch Bihar,625,148,54351,650000,556.2049999999999
Dinhata-I,Koch Bihar,355,84,30791,369200,315.92443999999995
Dinhata-Ii,Koch Bihar,298,70,25818,309920,265.19854399999997
Haldibari,Koch Bihar,180,42,15532,187200,160.18703999999997
Matha Bhanga-Ii,Koch Bihar,364,86,31584,378560,323.933792
Mathabhanga-I,Koch Bihar,400,95,34726,416000,355.9712
Mekliganj,Koch Bihar,209,49,18051,217360,185.99495199999998
Sitai,Koch Bihar,180,42,15532,187200,160.18703999999997
Sitalkuchi,Koch Bihar,331,78,28707,344240,294.56616799999995
Tufanganj-I,Koch Bihar,331,78,28707,344240,294.56616799999995
Tufanganj-Ii,Koch Bihar,249,59,21550,258960,221.592072
Alipurduar-I,Alipurduar,438,101,36939,455520,389.788464
Alipurduar-Ii,Alipurduar,345,79,29065,358800,307.02515999999997
Falakata,Alipurduar,757,175,63988,787280,673.675496
Kalchini,Alipurduar,807,186,68220,839280,718.171896
Kumargram,Alipurduar,387,89,32639,402480,344.4021359999999
Madarihat,Alipurduar,493,114,41615,512720,438.73450399999996
Bolpur-Sriniketan,Birbhum,111,27,9993,115440,98.78200799999999
Dubrajpur,Birbhum,95,23,8528,98800,84.54316
Illambazar,Birbhum,76,18,6792,79040,67.634528
Khoyrasol,Birbhum,73,17,6509,75920,64.964744
Labpur,Birbhum,114,28,10268,118560,101.451792
Mayureswar-I,Birbhum,92,22,8265,95680,81.873376
Mayureswar-Ii,Birbhum,80,19,7157,83200,71.19424
Mohammad Bazar,Birbhum,95,23,8528,98800,84.54316
Murarai-I,Birbhum,114,28,10268,118560,101.451792
Murarai-Ii,Birbhum,133,32,12010,138320,118.36042399999998
Nalhati-I,Birbhum,103,25,9267,107120,91.66258399999998
Nalhati-Ii,Birbhum,88,21,7893,91520,78.31366399999999
Nanoor,Birbhum,122,30,11007,126880,108.57121599999999
Rajnagar,Birbhum,42,10,3674,43680,37.376976
Rampurhat-I,Birbhum,111,27,9993,115440,98.78200799999999
Rampurhat-Ii,Birbhum,114,28,10268,118560,101.451792
Sainthia,Birbhum,122,30,11007,126880,108.57121599999999
Suri-I,Birbhum,236,58,21456,245440,210.02300799999998
Suri-Ii,Birbhum,65,15,5786,67600,57.84532
Bhagawanpur-I,Purba Medinipur,123,29,10934,127920,109.46114399999999
Bhagawanpur-Ii,Purba Medinipur,77,18,6781,80080,68.524456
Chandipur,Purba Medinipur,100,24,8848,104000,88.9928
Contai-I,Purba Medinipur,123,29,10934,127920,109.46114399999999
Contai-Iii,Purba Medinipur,62,14,5417,64480,55.175535999999994
Deshapran,Purba Medinipur,62,14,5417,64480,55.175535999999994
Egra-I,Purba Medinipur,108,26,9579,112320,96.11222399999998
Egra-Ii,Purba Medinipur,89,21,7856,92560,79.20359199999999
Haldia,Purba Medinipur,92,22,8124,95680,81.873376
Khejuri-I,Purba Medinipur,89,21,7856,92560,79.20359199999999
Khejuri-Ii,Purba Medinipur,85,20,7500,88400,75.64388
Kolaghat,Purba Medinipur,230,56,20576,239200,204.68344
Mahishadal,Purba Medinipur,100,24,8848,104000,88.9928
Moyna,Purba Medinipur,112,27,9935,116480,99.671936
Nandakumar,Purba Medinipur,150,36,13358,156000,133.48919999999998
Nandigram-I,Purba Medinipur,104,25,9204,108160,92.552512
Nandigram-Ii,Purba Medinipur,39,9,3351,40560,34.707192
Panskura-I,Purba Medinipur,123,29,10934,127920,109.46114399999999
Patashpur-I,Purba Medinipur,85,20,7500,88400,75.64388
Patashpur-Ii,Purba Medinipur,108,26,9579,112320,96.11222399999998
Ramnagar-I,Purba Medinipur,119,28,10561,123760,105.90143199999999
Ramnagar-Ii,Purba Medinipur,73,17,6414,75920,64.964744
Shahid Matangini,Purba Medinipur,158,38,14085,164320,140.608624
Sutahata,Purba Medinipur,43,10,3710,44720,38.266904
Tamluk,Purba Medinipur,211,51,18856,219440,187.77480799999998
Amdanga,North Twenty Four Parganas,196,46,17037,203840,174.42588799999996
Baduria,North Twenty Four Parganas,340,81,29685,353600,302.57552
Bagda,North Twenty Four Parganas,259,61,22562,269360,230.491352
Barasat-I,North Twenty Four Parganas,331,79,28892,344240,294.56616799999995
Barasat-Ii,North Twenty Four Parganas,96,22,8263,99840,85.43308799999998
Barrackpur-I,North Twenty Four Parganas,500,119,43723,520000,444.964
Barrackpur-Ii,North Twenty Four Parganas,3772,906,330957,3922880,3356.808416
Basirhat-I,North Twenty Four Parganas,319,76,27835,331760,283.887032
Basirhat-Ii,North Twenty Four Parganas,228,54,19848,237120,202.903584
Bongaon,North Twenty Four Parganas,476,114,41617,495040,423.60572799999994
Gaighata,North Twenty Four Parganas,404,96,35288,420160,359.53091199999994
Habra-I,North Twenty Four Parganas,336,80,29326,349440,299.015808
Habra-Ii,North Twenty Four Parganas,136,32,11776,141440,121.03020799999999
Haroa,North Twenty Four Parganas,188,44,16340,195520,167.30646399999998
Hasnabad,North Twenty Four Parganas,212,50,18443,220480,188.66473599999998
Hingalganj,North Twenty Four Parganas,259,61,22562,269360,230.491352
Minakhan,North Twenty Four Parganas,231,55,20109,240240,205.57336799999996
Rajarhat,North Twenty Four Parganas,2114,507,185414,2198560,1881.3077919999998
Sandeshkhali-I,North Twenty Four Parganas,196,46,17037,203840,174.42588799999996
Sandeshkhali-Ii,North Twenty Four Parganas,168,39,14587,174720,149.507904
Swarupnagar,North Twenty Four Parganas,288,68,25116,299520,256.299264
Deganga,North Twenty Four Parganas,348,83,30381,361920,309.69494399999996
Chandrakona-I,Paschim Medinipur,35,8,3018,36400,31.147479999999995
Chandrakona-Ii,Paschim Medinipur,23,5,1936,23920,20.468344
Dantan-I,Paschim Medinipur,31,7,2660,32240,27.587767999999997
Dantan-Ii,Paschim Medinipur,42,10,3671,43680,37.376976
Daspur-I,Paschim Medinipur,46,11,4038,47840,40.936688
Daspur-Ii,Paschim Medinipur,42,10,3671,43680,37.376976
Debra,Paschim Medinipur,61,14,5397,63440,54.285607999999996
Garbeta-I,Paschim Medinipur,46,11,4038,47840,40.936688
Garbeta-Ii,Paschim Medinipur,27,6,2293,28080,24.028055999999996
Garbeta-Iii,Paschim Medinipur,38,9,3313,39520,33.817264
Ghatal,Paschim Medinipur,42,10,3671,43680,37.376976
Keshiary,Paschim Medinipur,31,7,2660,32240,27.587767999999997
Keshpur,Paschim Medinipur,72,17,6413,74880,64.074816
Kharagpur-I,Paschim Medinipur,125,30,11254,130000,111.241
Kharagpur-Ii,Paschim Medinipur,69,16,6143,71760,61.40503199999999
Midnapore,Paschim Medinipur,38,9,3313,39520,33.817264
Mohanpur,Paschim Medinipur,27,6,2293,28080,24.028055999999996
Narayangarh,Paschim Medinipur,61,14,5397,63440,54.285607999999996
Pingla,Paschim Medinipur,38,9,3313,39520,33.817264
Sabang,Paschim Medinipur,50,12,4394,52000,44.4964
Salbani,Paschim Medinipur,42,10,3671,43680,37.376976
Beldanga-I,Murshidabad,199,48,17712,206960,177.09567199999998
Beldanga-Ii,Murshidabad,183,44,16278,190320,162.856824
Berhampore,Murshidabad,568,139,50873,590720,505.479104
Bhagabangola-Ii,Murshidabad,67,16,5857,69680,59.625175999999996
Bhagawangola-I,Murshidabad,67,16,5857,69680,59.625175999999996
Bharatpur-I,Murshidabad,86,20,7559,89440,76.533808
Bharatpur-Ii,Murshidabad,113,27,9980,117520,100.56186399999999
Burwan,Murshidabad,144,34,12767,149760,128.149632
Domkal,Murshidabad,207,50,18430,215280,184.215096
Farakka,Murshidabad,156,37,13844,162240,138.828768
Hariharpara,Murshidabad,172,41,15286,178880,153.067616
Jalangi,Murshidabad,105,25,9262,109200,93.44244
Kandi,Murshidabad,133,32,11777,138320,118.36042399999998
Khargram,Murshidabad,160,38,14196,166400,142.38848
Lalgola,Murshidabad,156,37,13844,162240,138.828768
Murshidabad-Jiagunj,Murshidabad,160,38,14196,166400,142.38848
