block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Balurghat,Dakshin Dinajpur,108,982,301,161821.6372,1471378.219,451002.8962,26,240,73,9519,87958,26845
Bansihari,Dakshin Dinajpur,39,327,104,58435.5912,489959.957,155828.2432,9,79,25,3332,29181,9153
Gangarampur,Dakshin Dinajpur,50,462,143,74917.42462,692237.0035,214263.8344,11,113,34,4314,41301,12670
Harirampur,Dakshin Dinajpur,43,358,112,64428.98517,536408.7603,167815.0311,10,87,27,3694,31974,9888
Hili,Dakshin Dinajpur,16,131,43,23973.57588,196283.6525,64428.98517,3,31,10,1262,11590,3694
Kumarganj,Dakshin Dinajpur,35,296,93,52442.19723,443511.1537,139346.4098,8,72,22,2978,26393,8180
Kushmandi,Dakshin Dinajpur,47,408,127,70422.37914,611326.1849,190290.2585,11,99,30,4045,36460,11226
Tapan,Dakshin Dinajpur,66,613,189,98891.00049,918487.6258,283187.865,15,150,46,5746,54847,16795
