block,district,10%_conversion_pv_size,100%_conversion_pv_size,30%_conversion_pv_size,10%_conversion_annual_pv_energy,100%_conversion_annual_pv_energy,30%_conversion_annual_pv_energy,10%_conversion_avg_vehicles_served_daily,100%_conversion_avg_vehicles_served_daily,30%_conversion_avg_vehicles_served_daily,10%_conversion_tot_vehicles_served_yearly,100%_conversion_tot_vehicles_served_yearly,30%_conversion_tot_vehicles_served_yearly
Asansol,Paschim Barddhaman,843,4081,1564,1275660.28,6175527.405,2366705.43,208,1012,387,76236,369730,141592
Barabani,Paschim Barddhaman,23,107,42,34804.49162,161916.548,63556.02818,5,26,9,1918,9531,3639
Faridpur - Durgapur,Paschim Barddhaman,35,165,65,52963.35682,249684.3964,98360.51981,8,40,15,2997,14767,5716
Jamuria,Paschim Barddhaman,50,238,92,75661.93831,360150.8264,139217.9665,11,58,22,4356,21399,8172
Kanksa,Paschim Barddhaman,142,679,261,214879.9048,1027489.122,394955.318,34,168,64,12705,61365,23486
Ondal,Paschim Barddhaman,35,154,62,52963.35682,233038.77,93820.80351,8,37,14,2997,13784,5433
Pandaveswar,Paschim Barddhaman,77,372,142,116519.385,562924.821,214879.9048,18,91,34,6815,33540,12705
Raniganj,Paschim Barddhaman,62,280,112,93820.80351,423706.8546,169482.7418,14,69,27,5433,25217,9986
Salanpur,Paschim Barddhaman,54,253,100,81714.89338,382849.4079,151323.8766,12,62,24,4721,22769,8890
